Respondent,ConvertedComp,EdLevel,JobSat,DevOps,DevOpsImpt,EdImpt,Learn,OnboardGood,Overtime,OpSys,OrgSize,PlatformWorkedWith,UndergradMajor,WorkWeekHrs,YearsCode
28835,107915.0,Bachelor’s degree,5,Yes,Extremely important,Critically important,Once a year,No,Occasionally: 1-2 days per quarter but less than monthly,Linux-based,"10,000 or more employees","{'Linux', 'AWS'}",Computer science,35.0,26.0
28844,81074.0,Master’s degree,5,Yes,Extremely important,Very important,Every few months,No,Occasionally: 1-2 days per quarter but less than monthly,MacOS,20 to 99 employees,"{'Docker', 'MacOS'}",Computer science,40.0,13.0
28853,28800.0,Master’s degree,5,No,Somewhat important,Fairly important,Once a year,No,Often: 1-2 days per week or more,Linux-based,20 to 99 employees,"{'Docker', 'Linux'}",Social science,60.0,38.0
28894,23388.0,Master’s degree,4,Not sure,Neutral,Critically important,Once a decade,No,Never,Linux-based,"1,000 to 4,999 employees","{'Linux', 'Google Cloud Platform'}",Engineering other,30.0,15.0
28895,27432.0,Associate degree,1,Yes,Somewhat important,Very important,Every few months,Yes,Often: 1-2 days per week or more,Windows,"10,000 or more employees",{'Windows'},Computer science,95.0,6.0
28939,15564.0,Secondary school,2,No,Extremely important,Not important,Once every few years,Onboarding? What onboarding?,Often: 1-2 days per week or more,Linux-based,100 to 499 employees,"{'Docker', 'Linux', 'WordPress'}",,24.0,37.0
28954,1200000.0,Master’s degree,5,No,Extremely important,Very important,Once a year,No,Often: 1-2 days per week or more,Windows,10 to 19 employees,"{'Linux', 'Android', 'iOS', 'AWS', 'Docker'}",Computer science,45.0,30.0
28956,,Bachelor’s degree,4,No,Neutral,Very important,,Yes,Often: 1-2 days per week or more,Linux-based,"Just me - I am a freelancer, sole proprietor, etc.","{'Windows', 'Linux', 'Heroku'}",Web dev/design,65.0,7.0
28969,4692.0,College study/no degree,2,Not sure,Not very important,Not important,Once a year,Onboarding? What onboarding?,Often: 1-2 days per week or more,Linux-based,500 to 999 employees,"{'Windows', 'Linux'}",Computer science,25.0,8.0
28976,18564.0,Bachelor’s degree,5,Yes,Somewhat important,Very important,Once a year,Yes,Rarely: 1-2 days per year or less,Windows,100 to 499 employees,{'Windows'},Computer science,40.0,11.0
28983,,Master’s degree,5,Yes,Extremely important,Fairly important,Once a year,Yes,Occasionally: 1-2 days per quarter but less than monthly,MacOS,20 to 99 employees,"{'Slack Apps and Integrations', 'MacOS', 'Raspberry Pi', 'AWS', 'Docker'}",Business,50.0,15.0
28987,33972.0,Master’s degree,5,Yes,Extremely important,Somewhat important,Every few months,Yes,Rarely: 1-2 days per year or less,Linux-based,"1,000 to 4,999 employees","{'Docker', 'MacOS', 'Windows', 'Linux'}",Computer science,40.0,8.0
28992,50028.0,Secondary school,2,No,Somewhat important,Somewhat important,,Onboarding? What onboarding?,Often: 1-2 days per week or more,Linux-based,"Just me - I am a freelancer, sole proprietor, etc.","{'Linux', 'WordPress', 'MacOS', 'Raspberry Pi', 'AWS', 'Docker', 'Windows'}",,60.0,28.0
29006,,Bachelor’s degree,5,Yes,Extremely important,,Every few months,Yes,Often: 1-2 days per week or more,MacOS,10 to 19 employees,"{'MacOS', 'Android', 'Linux', 'AWS'}",Computer science,,8.0
29015,,Associate degree,5,No,Neutral,Fairly important,Every few months,Yes,Occasionally: 1-2 days per quarter but less than monthly,Linux-based,2 to 9 employees,"{'Docker', 'MacOS', 'Linux', 'AWS'}",Computer science,40.0,20.0
29019,1000000.0,College study/no degree,2,Yes,Extremely important,Not important,Once a year,Onboarding? What onboarding?,Often: 1-2 days per week or more,Linux-based,"10,000 or more employees","{'Raspberry Pi', 'Linux', 'Google Cloud Platform', 'AWS'}",Computer science,48.0,30.0
29035,1992.0,Master’s degree,2,Yes,Extremely important,Very important,Every few months,Yes,Occasionally: 1-2 days per quarter but less than monthly,Linux-based,20 to 99 employees,"{'Slack Apps and Integrations', 'Linux', 'Android', 'Docker', 'Windows'}",Computer science,32.0,16.0
29039,193889.0,College study/no degree,5,Yes,Somewhat important,Not important,Once every few years,Yes,Occasionally: 1-2 days per quarter but less than monthly,Windows,"1,000 to 4,999 employees","{'Docker', 'Linux', 'Raspberry Pi'}",Computer science,46.0,24.0
29049,73584.0,Bachelor’s degree,4,No,Extremely important,Critically important,Once a year,Yes,Often: 1-2 days per week or more,MacOS,,"{'Slack Apps and Integrations', 'Linux', 'WordPress', 'MacOS', 'Microsoft Azure', 'Kubernetes', 'AWS', 'Docker', 'Windows', 'Google Cloud Platform'}",Computer science,50.0,17.0
29050,122580.0,Other doctoral degree,5,Yes,Extremely important,Critically important,Every few months,Onboarding? What onboarding?,Often: 1-2 days per week or more,Linux-based,20 to 99 employees,"{'Docker', 'Linux', 'Kubernetes', 'AWS'}",Math or stats,50.0,20.0
29054,,Bachelor’s degree,5,Yes,Extremely important,Very important,Every few months,No,Sometimes: 1-2 days per month but less than weekly,MacOS,100 to 499 employees,"{'Slack Apps and Integrations', 'Linux', 'Kubernetes', 'Docker', 'Windows', 'Google Cloud Platform'}",Computer science,45.0,16.0
29064,92000.0,Bachelor’s degree,2,Not sure,Neutral,Not important,Once a year,No,Rarely: 1-2 days per year or less,Windows,"1,000 to 4,999 employees",{'Windows'},Engineering other,40.0,10.0
29065,90482.0,College study/no degree,4,Yes,Extremely important,Not important,Once a year,Yes,Often: 1-2 days per week or more,Linux-based,100 to 499 employees,{'Raspberry Pi'},No major,38.0,19.0
29080,10560.0,Master’s degree,3,No,Neutral,Critically important,Once every few years,Yes,Often: 1-2 days per week or more,Linux-based,20 to 99 employees,"{'Linux', 'Microsoft Azure', 'Android', 'iOS', 'Windows'}",Computer science,50.0,27.0
29087,89854.0,Master’s degree,5,Yes,Extremely important,Fairly important,Once a year,Yes,Often: 1-2 days per week or more,Windows,2 to 9 employees,"{'Windows', 'Linux', 'WordPress'}",Information system,72.0,6.0
29094,24648.0,Secondary school,1,No,Extremely important,Fairly important,Once a year,Yes,Often: 1-2 days per week or more,Windows,"1,000 to 4,999 employees","{'Windows', 'Android', 'Arduino', 'WordPress'}",,39.0,35.0
29107,13189.0,Bachelor’s degree,4,No,Extremely important,Very important,,Yes,Sometimes: 1-2 days per month but less than weekly,Windows,100 to 499 employees,"{'Docker', 'Windows', 'Linux'}",Computer science,8.0,6.0
29109,11916.0,Master’s degree,4,Not sure,Neutral,Fairly important,Once a year,Onboarding? What onboarding?,Occasionally: 1-2 days per quarter but less than monthly,Windows,500 to 999 employees,"{'Windows', 'Android', 'Arduino'}",Computer science,40.0,12.0
29112,,Bachelor’s degree,2,Yes,Somewhat important,Critically important,Every few months,No,Rarely: 1-2 days per year or less,MacOS,500 to 999 employees,"{'Windows', 'iOS'}",Information system,40.0,10.0
29115,10956.0,Bachelor’s degree,2,No,Extremely important,Fairly important,Once every few years,No,Often: 1-2 days per week or more,Windows,10 to 19 employees,{'Windows'},Computer science,45.0,7.0
29119,130000.0,Associate degree,2,No,Extremely important,Somewhat important,Once every few years,Yes,Never,MacOS,"10,000 or more employees","{'Slack Apps and Integrations', 'Linux', 'MacOS', 'Microsoft Azure', 'Kubernetes', 'Windows'}",Computer science,40.0,22.0
29123,64859.0,Master’s degree,4,No,Extremely important,Somewhat important,Once a year,Onboarding? What onboarding?,Often: 1-2 days per week or more,Windows,500 to 999 employees,"{'Docker', 'Microsoft Azure', 'Windows'}",Natural science,50.0,22.0
29124,2304.0,Bachelor’s degree,2,No,Extremely important,Very important,Once a year,No,Often: 1-2 days per week or more,Windows,20 to 99 employees,"{'Microsoft Azure', 'Windows', 'Android', 'WordPress'}",Computer science,40.0,6.0
29126,45396.0,Master’s degree,4,No,Somewhat important,Very important,Every few months,Yes,Occasionally: 1-2 days per quarter but less than monthly,Windows,10 to 19 employees,"{'IBM Cloud or Watson', 'Linux', 'MacOS', 'Raspberry Pi', 'Docker', 'Windows'}",,40.0,6.0
29137,16800.0,Bachelor’s degree,4,No,Neutral,Not important,Every few months,Yes,Sometimes: 1-2 days per month but less than weekly,Linux-based,20 to 99 employees,"{'Linux', 'WordPress', 'Android', 'Kubernetes', 'Docker', 'Windows', 'Google Cloud Platform'}",Computer science,45.0,12.0
29139,25944.0,Master’s degree,5,No,,Critically important,Once every few years,No,Often: 1-2 days per week or more,Windows,2 to 9 employees,{},Math or stats,45.0,13.0
29146,163344.0,Master’s degree,4,No,Extremely important,Very important,Once a year,No,Often: 1-2 days per week or more,MacOS,"10,000 or more employees","{'Linux', 'MacOS', 'AWS', 'Docker', 'Windows'}",Math or stats,60.0,10.0
29165,32429.0,Master’s degree,2,No,Somewhat important,Very important,Once every few years,Onboarding? What onboarding?,Sometimes: 1-2 days per month but less than weekly,Linux-based,,"{'Docker', 'Windows', 'Linux'}",,30.0,10.0
29168,44100.0,Bachelor’s degree,1,No,Somewhat important,Somewhat important,Every few months,Yes,Often: 1-2 days per week or more,Linux-based,2 to 9 employees,"{'Docker', 'Linux', 'Kubernetes'}",Computer science,42.0,14.0
29170,30267.0,Master’s degree,5,Not sure,Neutral,Very important,Once a year,Onboarding? What onboarding?,Rarely: 1-2 days per year or less,Windows,"1,000 to 4,999 employees",{'Windows'},Math or stats,41.0,9.0
29171,119076.0,Bachelor’s degree,4,Yes,Extremely important,Fairly important,Every few months,Yes,Never,Windows,20 to 99 employees,"{'Slack Apps and Integrations', 'Linux', 'AWS', 'Windows', 'Google Cloud Platform'}",Computer science,47.0,8.0
29202,95000.0,Master’s degree,2,Yes,Somewhat important,Very important,Every few months,Yes,Sometimes: 1-2 days per month but less than weekly,Linux-based,100 to 499 employees,"{'Slack Apps and Integrations', 'Linux', 'Microsoft Azure', 'Android', 'Kubernetes', 'Docker', 'Windows', 'Google Cloud Platform'}",Computer science,42.0,19.0
29206,72900.0,Bachelor’s degree,5,No,Extremely important,Not important,Every few months,Yes,Sometimes: 1-2 days per month but less than weekly,Windows,20 to 99 employees,"{'Linux', 'Microsoft Azure', 'Kubernetes', 'Docker', 'Windows'}",Math or stats,45.0,14.0
29213,152473.0,College study/no degree,4,No,Extremely important,Somewhat important,Once every few years,Onboarding? What onboarding?,Occasionally: 1-2 days per quarter but less than monthly,MacOS,20 to 99 employees,"{'Slack Apps and Integrations', 'Linux', 'MacOS', 'Kubernetes', 'AWS', 'Docker'}",Computer science,40.0,24.0
29214,162225.0,Bachelor’s degree,4,No,Somewhat important,Very important,Once every few years,Onboarding? What onboarding?,Sometimes: 1-2 days per month but less than weekly,MacOS,20 to 99 employees,"{'Microsoft Azure', 'Windows', 'AWS'}",Computer science,40.0,16.0
29221,58368.0,Master’s degree,5,No,Extremely important,Fairly important,Once a year,Yes,Occasionally: 1-2 days per quarter but less than monthly,Linux-based,10 to 19 employees,"{'Docker', 'Linux', 'Google Cloud Platform'}",Computer science,38.0,15.0
29232,18804.0,Master’s degree,1,Yes,Extremely important,Very important,Once a year,Yes,Rarely: 1-2 days per year or less,Linux-based,500 to 999 employees,"{'Slack Apps and Integrations', 'Linux', 'Android', 'Arduino', 'AWS', 'Docker', 'Kubernetes', 'Windows', 'Google Cloud Platform'}",Computer science,35.0,13.0
29235,47700.0,Bachelor’s degree,4,No,Not at all important,Somewhat important,Once a decade,,Never,Windows,"1,000 to 4,999 employees","{'Microsoft Azure', 'Windows'}",Computer science,7.0,
29246,24516.0,Secondary school,2,Yes,Extremely important,Critically important,Once a year,Onboarding? What onboarding?,Never,Windows,"10,000 or more employees",{'Windows'},,110.0,4.0
29258,108098.0,Master’s degree,5,Yes,Extremely important,Critically important,Once every few years,Onboarding? What onboarding?,Sometimes: 1-2 days per month but less than weekly,MacOS,2 to 9 employees,"{'Docker', 'MacOS', 'Linux', 'AWS'}",Engineering other,32.0,42.0
29259,,Bachelor’s degree,2,No,Neutral,Not important,Once a year,No,Rarely: 1-2 days per year or less,Linux-based,"1,000 to 4,999 employees","{'Slack Apps and Integrations', 'Linux', 'Android', 'Raspberry Pi', 'Kubernetes', 'Docker', 'Google Cloud Platform'}",Computer science,42.0,12.0
29264,,Bachelor’s degree,3,Yes,Extremely important,Fairly important,Once every few years,No,Often: 1-2 days per week or more,MacOS,"10,000 or more employees",{'Kubernetes'},Computer science,,2.0
29273,126084.0,Bachelor’s degree,2,No,Extremely important,Critically important,Every few months,No,Often: 1-2 days per week or more,Windows,"10,000 or more employees","{'Docker', 'Windows', 'Linux'}",Computer science,49.0,5.0
29279,27923.0,Bachelor’s degree,1,Not sure,Somewhat important,Fairly important,Every few months,No,Occasionally: 1-2 days per quarter but less than monthly,Windows,"10,000 or more employees","{'Docker', 'Windows', 'Android', 'Linux'}",Math or stats,45.0,3.0
29296,60000.0,Bachelor’s degree,4,Yes,Extremely important,Very important,Once every few years,Yes,Often: 1-2 days per week or more,Windows,"5,000 to 9,999 employees",{'Windows'},Business,40.0,7.0
29306,103776.0,Master’s degree,5,Yes,Extremely important,Fairly important,Once every few years,Onboarding? What onboarding?,Never,Linux-based,2 to 9 employees,"{'Slack Apps and Integrations', 'Linux', 'Kubernetes', 'AWS', 'Docker', 'Google Cloud Platform'}",Computer science,60.0,32.0
29315,46764.0,Master’s degree,5,No,Somewhat important,Fairly important,Once a year,No,Often: 1-2 days per week or more,Windows,10 to 19 employees,"{'Docker', 'Microsoft Azure', 'Linux'}",Computer science,50.0,12.0
29332,853116.0,Bachelor’s degree,4,Yes,Somewhat important,Fairly important,Once a year,No,Sometimes: 1-2 days per month but less than weekly,MacOS,20 to 99 employees,"{'Docker', 'MacOS', 'Linux', 'AWS'}",Math or stats,40.0,5.0
29343,72000.0,Bachelor’s degree,4,Yes,Extremely important,Very important,Once a year,No,Sometimes: 1-2 days per month but less than weekly,Linux-based,"5,000 to 9,999 employees","{'Windows', 'Linux'}",,40.0,5.0
29345,60744.0,Master’s degree,5,No,,Fairly important,Every few months,Yes,Sometimes: 1-2 days per month but less than weekly,Linux-based,"1,000 to 4,999 employees","{'Docker', 'Linux', 'Android', 'Arduino'}",Natural science,33.0,33.0
29356,,Master’s degree,5,Yes,Extremely important,Very important,Every few months,Onboarding? What onboarding?,Often: 1-2 days per week or more,MacOS,20 to 99 employees,"{'Slack Apps and Integrations', 'Linux', 'MacOS', 'Kubernetes', 'AWS', 'Docker', 'Google Cloud Platform'}",Engineering other,45.0,10.0
29359,2000000.0,Bachelor’s degree,1,No,Somewhat important,Critically important,Once a year,Yes,Often: 1-2 days per week or more,Linux-based,"10,000 or more employees","{'Linux', 'MacOS', 'Microsoft Azure', 'Android', 'Windows'}",Math or stats,45.0,37.0
29368,16056.0,Master’s degree,2,Yes,Extremely important,Somewhat important,Every few months,Yes,Rarely: 1-2 days per year or less,Windows,"5,000 to 9,999 employees","{'IBM Cloud or Watson', 'Slack Apps and Integrations', 'Linux', 'Heroku', 'AWS', 'Docker', 'Windows'}",Engineering other,45.0,12.0
29378,1000000.0,Master’s degree,4,Yes,Somewhat important,Fairly important,Once every few years,Yes,Often: 1-2 days per week or more,Linux-based,20 to 99 employees,"{'Windows', 'Linux'}",Business,160.0,20.0
29381,,Master’s degree,5,Yes,Somewhat important,Critically important,Once a year,Yes,Sometimes: 1-2 days per month but less than weekly,Windows,"1,000 to 4,999 employees","{'Windows', 'Linux'}",Computer science,40.0,13.0
29384,94618.0,Master’s degree,5,Yes,Extremely important,Fairly important,Once a year,Yes,Occasionally: 1-2 days per quarter but less than monthly,Linux-based,"1,000 to 4,999 employees","{'Docker', 'Windows', 'Linux'}",Computer science,40.0,27.0
29386,3600.0,College study/no degree,1,No,Not at all important,Fairly important,Once every few years,Onboarding? What onboarding?,Often: 1-2 days per week or more,Windows,"Just me - I am a freelancer, sole proprietor, etc.","{'Windows', 'Android'}",Information system,40.0,23.0
29392,102693.0,Bachelor’s degree,4,Yes,Extremely important,Fairly important,Every few months,Yes,Sometimes: 1-2 days per month but less than weekly,Windows,"10,000 or more employees","{'WordPress', 'Microsoft Azure', 'Kubernetes', 'AWS', 'Windows'}",Natural science,45.0,35.0
29403,2000000.0,Secondary school,4,Yes,Not at all important,Not important,Every few months,Onboarding? What onboarding?,Often: 1-2 days per week or more,Windows,"10,000 or more employees",{'Windows'},,50.0,27.0
29409,,Bachelor’s degree,5,No,Somewhat important,Very important,Once a year,Yes,Sometimes: 1-2 days per month but less than weekly,Windows,20 to 99 employees,"{'Linux', 'Microsoft Azure', 'Raspberry Pi', 'Arduino', 'Docker'}",Engineering other,,30.0
29422,132143.0,Master’s degree,5,Not sure,Extremely important,Fairly important,Once a year,Yes,Often: 1-2 days per week or more,Windows,500 to 999 employees,"{'Linux', 'Raspberry Pi', 'Arduino', 'Docker', 'Windows'}",Computer science,40.0,17.0
29425,10380.0,Master’s degree,5,Not sure,Somewhat important,Critically important,Once a year,Yes,Sometimes: 1-2 days per month but less than weekly,MacOS,2 to 9 employees,"{'MacOS', 'Microsoft Azure'}",,20.0,6.0
29426,183767.0,College study/no degree,5,No,Somewhat important,Not important,Every few months,Yes,Often: 1-2 days per week or more,Linux-based,2 to 9 employees,"{'Docker', 'Linux', 'Kubernetes', 'Google Cloud Platform'}",Computer science,40.0,45.0
29428,,Bachelor’s degree,5,Yes,Somewhat important,Very important,Every few months,Yes,Sometimes: 1-2 days per month but less than weekly,MacOS,"10,000 or more employees","{'Raspberry Pi', 'iOS', 'AWS'}",Natural science,35.0,35.0
29429,70044.0,Bachelor’s degree,4,Yes,Somewhat important,Very important,Once a year,No,Sometimes: 1-2 days per month but less than weekly,MacOS,"1,000 to 4,999 employees","{'MacOS', 'Linux'}",Computer science,45.0,15.0
29434,,Master’s degree,2,No,Somewhat important,Somewhat important,Every few months,No,Never,Windows,100 to 499 employees,"{'MacOS', 'Windows', 'Microsoft Azure'}",Business,,10.0
29443,200000.0,College study/no degree,5,Yes,Somewhat important,Somewhat important,Once a decade,No,Sometimes: 1-2 days per month but less than weekly,Windows,500 to 999 employees,"{'Windows', 'Linux'}",Engineering other,45.0,30.0
29456,49296.0,Master’s degree,5,No,,Critically important,Every few months,Yes,Sometimes: 1-2 days per month but less than weekly,Linux-based,"1,000 to 4,999 employees",{'Linux'},Computer science,42.0,14.0
29457,110000.0,Master’s degree,4,No,Neutral,Very important,Once every few years,No,Rarely: 1-2 days per year or less,Windows,20 to 99 employees,"{'Windows', 'Heroku', 'Google Cloud Platform', 'AWS'}",Business,45.0,25.0
29474,,Bachelor’s degree,3,No,Somewhat important,Very important,Once a year,Yes,Occasionally: 1-2 days per quarter but less than monthly,Windows,2 to 9 employees,"{'Docker', 'Linux'}",Computer science,,7.0
29475,58373.0,Master’s degree,4,No,Extremely important,Critically important,Once every few years,Onboarding? What onboarding?,Often: 1-2 days per week or more,Windows,"10,000 or more employees","{'Windows', 'Linux'}",Math or stats,46.0,11.0
29493,27923.0,Bachelor’s degree,2,No,Extremely important,,Every few months,No,Sometimes: 1-2 days per month but less than weekly,MacOS,500 to 999 employees,"{'Docker', 'MacOS', 'AWS'}",Computer science,,7.0
29500,,Bachelor’s degree,5,,,Fairly important,Once every few years,,Never,Windows,"Just me - I am a freelancer, sole proprietor, etc.","{'Microsoft Azure', 'Windows'}",Computer science,,35.0
29509,,Bachelor’s degree,4,Not sure,Neutral,Somewhat important,Every few months,No,Never,Windows,"10,000 or more employees","{'Docker', 'Microsoft Azure', 'Windows', 'Linux'}",Engineering other,40.0,19.0
29513,170622.0,College study/no degree,3,Yes,Extremely important,Not important,Every few months,No,Rarely: 1-2 days per year or less,Windows,"1,000 to 4,999 employees","{'Docker', 'Microsoft Azure', 'Kubernetes'}",Math or stats,40.0,39.0
29522,85000.0,Master’s degree,2,Yes,Extremely important,Somewhat important,Every few months,No,Rarely: 1-2 days per year or less,Windows,"10,000 or more employees","{'MacOS', 'Windows', 'Linux', 'AWS'}",Engineering other,40.0,6.0
29537,25944.0,Master’s degree,5,No,Neutral,Critically important,Once a decade,Onboarding? What onboarding?,Often: 1-2 days per week or more,Windows,"1,000 to 4,999 employees",{},Social science,40.0,6.0
29540,,Bachelor’s degree,3,Yes,Extremely important,Critically important,Every few months,Yes,Sometimes: 1-2 days per month but less than weekly,Linux-based,"10,000 or more employees","{'Linux', 'Microsoft Azure', 'Kubernetes', 'AWS', 'Docker', 'Google Cloud Platform'}",Computer science,50.0,16.0
29555,550000.0,Other doctoral degree,5,Yes,Extremely important,Critically important,Once a year,No,Often: 1-2 days per week or more,Linux-based,"1,000 to 4,999 employees","{'Linux', 'AWS'}",Computer science,50.0,30.0
29566,58368.0,Other doctoral degree,4,No,Neutral,Fairly important,Every few months,Onboarding? What onboarding?,Often: 1-2 days per week or more,MacOS,"Just me - I am a freelancer, sole proprietor, etc.","{'Linux', 'MacOS', 'Android', 'iOS', 'Raspberry Pi', 'Arduino', 'AWS', 'Windows'}",Computer science,40.0,23.0
29569,,College study/no degree,4,Not sure,Neutral,Somewhat important,Every few months,Onboarding? What onboarding?,Never,Linux-based,"Just me - I am a freelancer, sole proprietor, etc.","{'Windows', 'Android', 'Linux'}",Information system,,11.0
29573,4716.0,Other doctoral degree,2,No,Somewhat important,Not important,Once every few years,Onboarding? What onboarding?,Often: 1-2 days per week or more,Linux-based,100 to 499 employees,"{'Linux', 'Arduino'}",Natural science,40.0,10.0
29578,,College study/no degree,1,Yes,Somewhat important,Somewhat important,Once a year,Yes,Often: 1-2 days per week or more,Linux-based,20 to 99 employees,"{'Linux', 'Kubernetes', 'AWS', 'Docker', 'Windows', 'Google Cloud Platform'}",Natural science,45.0,20.0
29589,162147.0,Master’s degree,2,Yes,Extremely important,Fairly important,Once every few years,No,Often: 1-2 days per week or more,Windows,2 to 9 employees,{'Windows'},Computer science,60.0,35.0
29599,42804.0,Bachelor’s degree,5,Yes,Extremely important,Somewhat important,Once a year,Yes,Sometimes: 1-2 days per month but less than weekly,MacOS,2 to 9 employees,"{'Linux', 'MacOS', 'Kubernetes', 'AWS', 'Docker', 'Google Cloud Platform'}",Computer science,50.0,10.0
29601,118908.0,Bachelor’s degree,5,Yes,Extremely important,Very important,Every few months,Yes,Sometimes: 1-2 days per month but less than weekly,Linux-based,"10,000 or more employees","{'Docker', 'Linux', 'Kubernetes', 'AWS'}",Computer science,38.0,20.0
29602,,Bachelor’s degree,5,Yes,Extremely important,Very important,Every few months,,Often: 1-2 days per week or more,Windows,"10,000 or more employees",{'Android'},Engineering other,9.0,4.0
29604,,Bachelor’s degree,2,No,Extremely important,Very important,Every few months,Yes,Often: 1-2 days per week or more,Linux-based,10 to 19 employees,"{'Windows', 'Linux', 'AWS'}",Computer science,40.0,8.0
29606,86838.0,Master’s degree,1,Yes,Somewhat important,Very important,Every few months,Yes,Often: 1-2 days per week or more,MacOS,20 to 99 employees,{'AWS'},Computer science,60.0,14.0
29611,,Bachelor’s degree,4,Yes,Somewhat important,Very important,Once every few years,No,Occasionally: 1-2 days per quarter but less than monthly,Windows,"1,000 to 4,999 employees",{'Windows'},Math or stats,45.0,38.0
29616,4944.0,Bachelor’s degree,3,Yes,Somewhat important,Somewhat important,Every few months,Yes,Sometimes: 1-2 days per month but less than weekly,Windows,100 to 499 employees,"{'Windows', 'Android'}",Computer science,45.0,5.0
29629,84316.0,Bachelor’s degree,2,Yes,Extremely important,Fairly important,Every few months,No,Occasionally: 1-2 days per quarter but less than monthly,Windows,"1,000 to 4,999 employees","{'Docker', 'Microsoft Azure', 'Windows', 'Linux'}",Computer science,40.0,31.0
29641,10380.0,Bachelor’s degree,2,No,Extremely important,Fairly important,Once a year,Onboarding? What onboarding?,Often: 1-2 days per week or more,Windows,"10,000 or more employees",{'Windows'},Information system,40.0,5.0
29653,70000.0,Master’s degree,2,Yes,Extremely important,Very important,Once every few years,No,Often: 1-2 days per week or more,MacOS,"1,000 to 4,999 employees",{'iOS'},Math or stats,40.0,10.0
29654,110000.0,Bachelor’s degree,2,Yes,Extremely important,Somewhat important,Every few months,No,Occasionally: 1-2 days per quarter but less than monthly,Windows,500 to 999 employees,"{'Slack Apps and Integrations', 'Linux', 'MacOS', 'Raspberry Pi', 'Kubernetes', 'Docker', 'Windows', 'Google Cloud Platform'}",Computer science,40.0,6.0
29660,,Bachelor’s degree,5,Not sure,,Very important,Every few months,Yes,Never,Linux-based,100 to 499 employees,"{'Docker', 'Windows', 'Linux'}",Computer science,25.0,6.0
29674,25860.0,Bachelor’s degree,4,Not sure,Neutral,Somewhat important,Every few months,No,Sometimes: 1-2 days per month but less than weekly,MacOS,100 to 499 employees,{'Linux'},Math or stats,40.0,9.0
29679,7128.0,Bachelor’s degree,2,No,Extremely important,Somewhat important,Once a year,Onboarding? What onboarding?,Sometimes: 1-2 days per month but less than weekly,Windows,2 to 9 employees,"{'Windows', 'Android'}",Computer science,25.0,2.0
29682,,Other doctoral degree,5,No,Extremely important,Critically important,Once a year,No,Occasionally: 1-2 days per quarter but less than monthly,MacOS,20 to 99 employees,"{'MacOS', 'Linux', 'Raspberry Pi'}",Math or stats,,36.0
29685,12816.0,Bachelor’s degree,2,Yes,Somewhat important,Not important,Once a year,Onboarding? What onboarding?,Often: 1-2 days per week or more,Windows,"10,000 or more employees","{'Linux', 'MacOS', 'Android', 'Docker', 'Windows'}",Computer science,37.5,7.0
29690,18192.0,Other doctoral degree,4,Not sure,Neutral,Somewhat important,Once a year,Yes,Often: 1-2 days per week or more,Linux-based,100 to 499 employees,{'Linux'},Natural science,8.0,8.0
29692,110000.0,,3,Yes,Somewhat important,Not important,Once a year,Yes,Sometimes: 1-2 days per month but less than weekly,Windows,"10,000 or more employees","{'Docker', 'Linux', 'Raspberry Pi'}",No major,40.0,37.0
29695,,Bachelor’s degree,4,No,Extremely important,Fairly important,Once a year,Onboarding? What onboarding?,Sometimes: 1-2 days per month but less than weekly,Linux-based,"Just me - I am a freelancer, sole proprietor, etc.","{'Linux', 'AWS'}",Natural science,40.0,30.0
29699,,Bachelor’s degree,1,No,Neutral,Very important,Every few months,No,Often: 1-2 days per week or more,MacOS,2 to 9 employees,"{'Linux', 'WordPress', 'MacOS', 'Android', 'Windows'}",Computer science,25.0,15.0
29703,45241.0,Bachelor’s degree,5,No,Neutral,Not important,Once every few years,Yes,Sometimes: 1-2 days per month but less than weekly,MacOS,20 to 99 employees,"{'Linux', 'AWS'}",Natural science,38.0,7.0
29712,21444.0,Associate degree,4,No,Somewhat important,Very important,Once every few years,Onboarding? What onboarding?,Occasionally: 1-2 days per quarter but less than monthly,Linux-based,100 to 499 employees,{'Linux'},Web dev/design,44.0,14.0
29717,,Master’s degree,4,Yes,Somewhat important,Very important,Once a year,No,Never,Linux-based,20 to 99 employees,"{'Linux', 'MacOS', 'Android', 'Raspberry Pi', 'Docker'}",Computer science,40.0,25.0
29725,,Bachelor’s degree,4,Yes,Extremely important,,,Yes,Never,MacOS,500 to 999 employees,{'Android'},Computer science,,10.0
29730,19452.0,Bachelor’s degree,2,Not sure,Neutral,Somewhat important,Once a year,Onboarding? What onboarding?,Often: 1-2 days per week or more,Windows,"Just me - I am a freelancer, sole proprietor, etc.","{'Windows', 'WordPress'}",Computer science,60.0,10.0
29734,25944.0,Master’s degree,1,Not sure,Somewhat important,Fairly important,Every few months,Yes,Often: 1-2 days per week or more,MacOS,10 to 19 employees,"{'Linux', 'MacOS', 'Android', 'Heroku', 'Kubernetes', 'Docker', 'Google Cloud Platform'}",Natural science,40.0,4.0
29755,200000.0,Other doctoral degree,5,No,Extremely important,Fairly important,Once a year,No,Often: 1-2 days per week or more,Windows,20 to 99 employees,"{'Slack Apps and Integrations', 'WordPress'}",Math or stats,70.0,38.0
29760,15120.0,Bachelor’s degree,5,No,Extremely important,Critically important,Every few months,Yes,Occasionally: 1-2 days per quarter but less than monthly,Linux-based,20 to 99 employees,"{'Linux', 'Android', 'Raspberry Pi', 'Kubernetes', 'Docker', 'Google Cloud Platform'}",Computer science,40.0,8.0
