Respondent,ConvertedComp,EdLevel,JobSat,DevOps,DevOpsImpt,EdImpt,Learn,OnboardGood,Overtime,OpSys,OrgSize,PlatformWorkedWith,UndergradMajor,WorkWeekHrs,YearsCode
378,64287.0,Bachelor’s degree,5,Yes,Extremely important,Very important,Once a year,Yes,Occasionally: 1-2 days per quarter but less than monthly,Windows,100 to 499 employees,"{'IBM Cloud or Watson', 'Windows'}",Computer science,35.0,12.0
379,48500.0,College study/no degree,1,Yes,Somewhat important,Not important,Once a year,Yes,Sometimes: 1-2 days per month but less than weekly,Windows,20 to 99 employees,"{'Microsoft Azure', 'Windows'}",No major,40.0,2.0
393,,Master’s degree,5,Yes,Somewhat important,Very important,Every few months,Yes,Rarely: 1-2 days per year or less,Windows,2 to 9 employees,{'Google Cloud Platform'},Computer science,,6.0
401,46767.0,Bachelor’s degree,5,Yes,Extremely important,Not important,Once every few years,Yes,Rarely: 1-2 days per year or less,Linux-based,100 to 499 employees,"{'Slack Apps and Integrations', 'Linux', 'MacOS', 'Android', 'iOS', 'AWS', 'Docker'}",Computer science,30.0,25.0
403,105000.0,Master’s degree,5,Yes,Extremely important,Somewhat important,Once every few years,Yes,Never,MacOS,100 to 499 employees,"{'Linux', 'MacOS', 'Heroku', 'Docker', 'Windows', 'Google Cloud Platform'}",Math or stats,35.0,11.0
408,,Master’s degree,5,No,Neutral,Not important,Once every few years,No,Rarely: 1-2 days per year or less,Windows,20 to 99 employees,{'Windows'},Computer science,38.0,17.0
409,43866.0,Master’s degree,2,No,Somewhat important,Very important,Every few months,Onboarding? What onboarding?,Never,Windows,20 to 99 employees,"{'Windows', 'Raspberry Pi'}",Computer science,38.0,16.0
414,23735.0,Bachelor’s degree,5,Yes,Extremely important,Fairly important,Every few months,No,Sometimes: 1-2 days per month but less than weekly,MacOS,100 to 499 employees,"{'Linux', 'MacOS', 'iOS', 'AWS', 'Windows', 'Google Cloud Platform'}",Computer science,36.0,8.0
436,75000.0,Bachelor’s degree,2,No,Neutral,Very important,Once a year,Onboarding? What onboarding?,Rarely: 1-2 days per year or less,Windows,10 to 19 employees,{},Math or stats,40.0,5.0
448,581667.0,Master’s degree,4,Yes,Somewhat important,Not important,Every few months,Yes,Never,Linux-based,500 to 999 employees,{'Linux'},Business,40.0,30.0
449,100000.0,Bachelor’s degree,5,No,Neutral,Somewhat important,Once a year,Onboarding? What onboarding?,Occasionally: 1-2 days per quarter but less than monthly,Windows,20 to 99 employees,"{'Raspberry Pi', 'Windows', 'Android', 'iOS'}",Computer science,40.0,14.0
456,73000.0,Bachelor’s degree,4,No,Somewhat important,Fairly important,Every few months,No,Occasionally: 1-2 days per quarter but less than monthly,Windows,"10,000 or more employees","{'Docker', 'Windows', 'Linux', 'AWS'}",Computer science,40.0,9.0
457,110000.0,Other doctoral degree,5,No,Somewhat important,Very important,Every few months,No,Occasionally: 1-2 days per quarter but less than monthly,Windows,100 to 499 employees,{'Windows'},Natural science,50.0,17.0
458,,Master’s degree,3,Not sure,Neutral,Critically important,Every few months,Yes,Occasionally: 1-2 days per quarter but less than monthly,Linux-based,,"{'MacOS', 'AWS'}",Computer science,,20.0
463,154000.0,Master’s degree,4,No,Somewhat important,Fairly important,Once a year,Onboarding? What onboarding?,Often: 1-2 days per week or more,MacOS,100 to 499 employees,"{'WordPress', 'Linux', 'AWS'}",Computer science,50.0,28.0
483,70000.0,Bachelor’s degree,4,Yes,Neutral,Critically important,Once a year,Yes,Occasionally: 1-2 days per quarter but less than monthly,Windows,100 to 499 employees,{'Windows'},Humanities,,5.0
504,45288.0,Master’s degree,5,Not sure,Neutral,Very important,Once every few years,Onboarding? What onboarding?,Often: 1-2 days per week or more,Windows,"10,000 or more employees",{'Windows'},Computer science,50.0,35.0
508,250000.0,Other doctoral degree,5,Yes,Extremely important,Critically important,Once every few years,Yes,Occasionally: 1-2 days per quarter but less than monthly,MacOS,100 to 499 employees,{'Linux'},Math or stats,45.0,37.0
518,48950.0,Master’s degree,5,Not sure,,Somewhat important,Once a year,Yes,Never,Windows,"10,000 or more employees",{},Computer science,35.0,1.0
526,175000.0,Master’s degree,4,Yes,Somewhat important,Very important,Once a year,Yes,Sometimes: 1-2 days per month but less than weekly,Linux-based,20 to 99 employees,"{'Linux', 'MacOS', 'Android', 'iOS', 'Kubernetes', 'AWS', 'Docker', 'Windows'}",Computer science,36.0,35.0
536,98321.0,Bachelor’s degree,5,No,Somewhat important,Fairly important,Once every few years,Onboarding? What onboarding?,Sometimes: 1-2 days per month but less than weekly,Windows,10 to 19 employees,"{'Windows', 'Linux'}",Engineering other,45.0,30.0
537,150000.0,Master’s degree,4,Yes,Somewhat important,Very important,Once every few years,No,Sometimes: 1-2 days per month but less than weekly,Windows,100 to 499 employees,"{'Docker', 'Microsoft Azure', 'Windows', 'Kubernetes'}",Computer science,40.0,32.0
548,,Master’s degree,4,Yes,Extremely important,Very important,Every few months,Yes,Often: 1-2 days per week or more,MacOS,500 to 999 employees,"{'Slack Apps and Integrations', 'Linux', 'MacOS', 'AWS', 'Windows'}",Computer science,38.0,13.0
559,137271.0,Bachelor’s degree,5,No,Somewhat important,Fairly important,Once a year,Onboarding? What onboarding?,Occasionally: 1-2 days per quarter but less than monthly,MacOS,500 to 999 employees,"{'Docker', 'MacOS', 'Linux'}",Computer science,40.0,23.0
563,42804.0,Bachelor’s degree,5,No,Extremely important,Very important,Every few months,Onboarding? What onboarding?,Sometimes: 1-2 days per month but less than weekly,,100 to 499 employees,"{'Linux', 'MacOS', 'AWS', 'Windows', 'Google Cloud Platform'}",Computer science,24.0,16.0
564,10812.0,Bachelor’s degree,5,Not sure,Extremely important,Somewhat important,Every few months,Yes,Often: 1-2 days per week or more,Linux-based,10 to 19 employees,"{'Docker', 'Linux'}",Computer science,45.0,3.0
587,67000.0,Master’s degree,5,No,Extremely important,Not important,Once a year,Yes,Rarely: 1-2 days per year or less,MacOS,20 to 99 employees,{'AWS'},Natural science,40.0,4.0
607,51888.0,Master’s degree,2,No,Extremely important,Fairly important,Once a year,Onboarding? What onboarding?,Sometimes: 1-2 days per month but less than weekly,Linux-based,100 to 499 employees,"{'MacOS', 'Linux', 'Google Cloud Platform'}",Engineering other,40.0,5.0
613,127056.0,Bachelor’s degree,4,No,Somewhat important,Very important,Once every few years,Onboarding? What onboarding?,Sometimes: 1-2 days per month but less than weekly,Windows,"Just me - I am a freelancer, sole proprietor, etc.",{'Microsoft Azure'},Information system,45.0,12.0
629,100300.0,Bachelor’s degree,2,Yes,,Very important,Once a year,No,Occasionally: 1-2 days per quarter but less than monthly,Linux-based,"5,000 to 9,999 employees","{'Raspberry Pi', 'Linux', 'Arduino', 'AWS'}",Engineering other,40.0,36.0
637,200000.0,Master’s degree,5,Yes,Extremely important,Very important,Every few months,No,Occasionally: 1-2 days per quarter but less than monthly,MacOS,"5,000 to 9,999 employees","{'Docker', 'Linux'}",Computer science,40.0,28.0
644,75631.0,Bachelor’s degree,4,Not sure,Neutral,Fairly important,Once every few years,No,Occasionally: 1-2 days per quarter but less than monthly,Windows,500 to 999 employees,{'Windows'},Humanities,36.0,25.0
645,35028.0,Professional degree,2,No,Extremely important,Very important,Once every few years,Onboarding? What onboarding?,Rarely: 1-2 days per year or less,Windows,"10,000 or more employees","{'Windows', 'WordPress'}",Computer science,40.0,32.0
653,151263.0,Other doctoral degree,2,Yes,Neutral,Somewhat important,Once every few years,No,Sometimes: 1-2 days per month but less than weekly,MacOS,100 to 499 employees,"{'IBM Cloud or Watson', 'Slack Apps and Integrations', 'Linux', 'MacOS', 'Raspberry Pi', 'AWS', 'Docker', 'Windows', 'Google Cloud Platform'}",Natural science,40.0,13.0
660,,Bachelor’s degree,1,Yes,Extremely important,Fairly important,Once a year,Yes,Occasionally: 1-2 days per quarter but less than monthly,Windows,500 to 999 employees,"{'Docker', 'Microsoft Azure', 'Windows'}",Math or stats,,10.0
661,185000.0,Master’s degree,4,Yes,Extremely important,Very important,Once a year,No,Sometimes: 1-2 days per month but less than weekly,MacOS,20 to 99 employees,{'Microsoft Azure'},Computer science,40.0,18.0
